2021-11-16 10:08:44.203 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-11-16 10:08:44.219 [main] INFO  cn.edu.xmu.oomall.orders.OrdersApplication - Starting OrdersApplication using Java 11.0.11 on 郑仁杰的电脑 with PID 17004 (F:\桌面文件\OOMALL\orders\target\classes started by DELL in F:\桌面文件\OOMALL)
2021-11-16 10:08:44.219 [main] INFO  cn.edu.xmu.oomall.orders.OrdersApplication - No active profile set, falling back to default profiles: default
2021-11-16 10:08:48.280 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-11-16 10:08:48.280 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-11-16 10:08:48.327 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 0 Redis repository interfaces.
2021-11-16 10:08:49.311 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=26a85e02-5fb9-3062-91ff-b936eb406237
2021-11-16 10:08:49.985 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
2021-11-16 10:08:50.000 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
2021-11-16 10:08:50.000 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-11-16 10:08:50.000 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-11-16 10:08:50.220 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-11-16 10:08:50.220 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5627 ms
2021-11-16 10:08:50.361 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2021-11-16 10:08:51.330 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-11-16 10:08:53.538 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2021-11-16 10:08:54.451 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
2021-11-16 10:08:54.472 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
2021-11-16 10:08:55.753 [main] INFO  cn.edu.xmu.oomall.orders.OrdersApplication - Started OrdersApplication in 15.248 seconds (JVM running for 21.387)
2021-11-16 10:09:07.251 [http-nio-8083-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-11-16 10:09:07.251 [http-nio-8083-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-11-16 10:09:07.253 [http-nio-8083-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
