2021-11-14 19:30:53.024 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.edu.xmu.oomall.shop.controller.ShareActivityControllerTest], using SpringBootContextLoader
2021-11-14 19:30:53.033 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.edu.xmu.oomall.shop.controller.ShareActivityControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-11-14 19:30:53.035 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.edu.xmu.oomall.shop.controller.ShareActivityControllerTest]: ShareActivityControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-11-14 19:30:53.234 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.edu.xmu.oomall.shop.ShopApplication for test class cn.edu.xmu.oomall.shop.controller.ShareActivityControllerTest
2021-11-14 19:30:53.360 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-11-14 19:30:53.378 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5c77053b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@26b894bd, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@287f94b1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@30b34287, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5489c777, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3676ac27, org.springframework.test.context.transaction.TransactionalTestExecutionListener@62f87c44, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@48f5bde6, org.springframework.test.context.event.EventPublishingTestExecutionListener@525d79f0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5149f008, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7072bc39, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@158d255c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2ca65ce4, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@327120c8, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5707c1cb]
2021-11-14 19:30:54.369 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-11-14 19:30:54.380 [main] INFO  c.e.x.o.s.controller.ShareActivityControllerTest - Starting ShareActivityControllerTest using Java 11.0.12 on LAPTOP-CB1SPUCV with PID 5648 (started by 11872 in C:\Users\11872\Desktop\ooadv1.1\oomall\shop)
2021-11-14 19:30:54.382 [main] INFO  c.e.x.o.s.controller.ShareActivityControllerTest - No active profile set, falling back to default profiles: default
2021-11-14 19:30:55.189 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-11-14 19:30:55.195 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-11-14 19:30:55.224 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2021-11-14 19:30:55.502 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=e1380f00-5709-3e82-892a-00d5020082e3
2021-11-14 19:30:56.635 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2021-11-14 19:30:56.975 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-11-14 19:30:57.496 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'Payment' URL not provided. Will try picking an instance via load-balancing.
2021-11-14 19:30:57.558 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'Reconciliation' URL not provided. Will try picking an instance via load-balancing.
2021-11-14 19:30:59.228 [main] INFO  o.s.b.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2021-11-14 19:30:59.228 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2021-11-14 19:30:59.229 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
